2013-03-30 20:22:09.397714accel: [1076, -38, -9];gyro: [8, -12, -80];mag: [-303, -147, -22]
2013-03-30 20:22:09.461008accel: [1049, -19, 31];gyro: [15, -46, -61];mag: [-303, -148, -22]
2013-03-30 20:22:09.506284accel: [1029, -55, 8];gyro: [19, -11, -65];mag: [-302, -148, -23]
2013-03-30 20:22:09.546155accel: [1107, -54, -15];gyro: [5, -27, -46];mag: [-303, -148, -22]
2013-03-30 20:22:09.596409accel: [1098, -88, -8];gyro: [-8, -36, -49];mag: [-305, -149, -25]
2013-03-30 20:22:09.646374accel: [1058, -127, -53];gyro: [3, -26, -52];mag: [-302, -148, -25]
2013-03-30 20:22:09.696108accel: [1076, -65, -63];gyro: [20, -25, -61];mag: [-302, -149, -22]
2013-03-30 20:22:09.746023accel: [1066, -72, -80];gyro: [10, -13, -34];mag: [-302, -148, -24]
2013-03-30 20:22:09.796428accel: [1051, -84, 38];gyro: [-4, -20, -47];mag: [-303, -150, -24]
2013-03-30 20:22:09.888942accel: [1016, -39, -69];gyro: [19, 2, -35];mag: [-301, -147, -23]
2013-03-30 20:22:09.946186accel: [1074, -94, 47];gyro: [-14, -45, -51];mag: [-302, -147, -23]
2013-03-30 20:22:09.996413accel: [1038, -65, 1];gyro: [-35, -22, -64];mag: [-300, -150, -22]
2013-03-30 20:22:10.046181accel: [1057, -62, -16];gyro: [6, -42, -55];mag: [-302, -147, -24]
2013-03-30 20:22:10.096105accel: [1024, -9, 60];gyro: [6, -19, -49];mag: [-302, -147, -23]
2013-03-30 20:22:10.146101accel: [1100, -79, -26];gyro: [12, -37, -64];mag: [-303, -148, -23]
2013-03-30 20:22:10.196291accel: [1017, -47, -50];gyro: [12, -25, -71];mag: [-302, -149, -24]
2013-03-30 20:22:10.246343accel: [1057, -47, -9];gyro: [13, -5, -29];mag: [-303, -147, -24]
2013-03-30 20:22:10.296339accel: [1078, -117, 23];gyro: [19, -7, -38];mag: [-301, -147, -25]
2013-03-30 20:22:10.389794accel: [1022, -65, -5];gyro: [35, -7, -15];mag: [-300, -148, -22]
2013-03-30 20:22:10.446333accel: [1051, 12, -5];gyro: [17, 4, -41];mag: [-302, -147, -23]
2013-03-30 20:22:10.501776accel: [1008, -21, -5];gyro: [3, -30, -68];mag: [-304, -149, -24]
2013-03-30 20:22:10.547040accel: [1072, -85, -15];gyro: [14, -17, -28];mag: [-301, -148, -23]
2013-03-30 20:22:10.596258accel: [1018, -93, -83];gyro: [1, -16, -105];mag: [-303, -148, -24]
2013-03-30 20:22:10.646408accel: [1064, -37, -88];gyro: [-13, -15, -45];mag: [-302, -147, -24]
2013-03-30 20:22:10.696132accel: [1059, 19, -61];gyro: [254, -39, -65];mag: [-300, -148, -24]
2013-03-30 20:22:10.746163accel: [1015, -60, 32];gyro: [37, -15, -27];mag: [-303, -144, -26]
2013-03-30 20:22:10.796448accel: [1076, -67, 24];gyro: [9, -14, -55];mag: [-301, -147, -23]
2013-03-30 20:22:10.900865accel: [1111, -96, -24];gyro: [21, 8, -28];mag: [-304, -147, -22]
2013-03-30 20:22:10.950361accel: [1055, -28, 28];gyro: [14, -21, -55];mag: [-302, -147, -23]
2013-03-30 20:22:10.996345accel: [938, -60, -70];gyro: [0, -19, -40];mag: [-302, -148, -24]
2013-03-30 20:22:11.046462accel: [1015, -4, 33];gyro: [-17, -25, -5];mag: [-303, -150, -25]
2013-03-30 20:22:11.096113accel: [1065, -45, -30];gyro: [13, -30, -43];mag: [-303, -148, -23]
2013-03-30 20:22:11.146160accel: [1048, -91, 72];gyro: [33, -22, -38];mag: [-301, -148, -25]
2013-03-30 20:22:11.196405accel: [1024, -87, 40];gyro: [10, -53, -35];mag: [-303, -147, -24]
2013-03-30 20:22:11.246286accel: [1064, -87, -8];gyro: [-4, -16, -48];mag: [-301, -149, -23]
2013-03-30 20:22:11.296351accel: [1125, -53, -42];gyro: [-10, -48, -71];mag: [-305, -149, -22]
2013-03-30 20:22:11.389547accel: [1047, -73, -65];gyro: [16, -5, -47];mag: [-302, -147, -22]
2013-03-30 20:22:11.446136accel: [1047, -51, 64];gyro: [15, -28, -73];mag: [-302, -148, -26]
2013-03-30 20:22:11.508589accel: [1052, -52, 13];gyro: [20, -38, -51];mag: [-303, -149, -24]
2013-03-30 20:22:11.562426accel: [1077, -8, -31];gyro: [4, -38, -39];mag: [-305, -148, -24]
2013-03-30 20:22:11.596141accel: [1031, -32, -62];gyro: [-8, -49, -29];mag: [-301, -149, -23]
2013-03-30 20:22:11.646249accel: [1048, 10, -9];gyro: [2, -8, -34];mag: [-301, -148, -24]
2013-03-30 20:22:11.696242accel: [1082, -6, -77];gyro: [5, -19, -40];mag: [-303, -149, -23]
2013-03-30 20:22:11.746148accel: [1053, -24, -80];gyro: [12, -36, -43];mag: [-304, -149, -22]
2013-03-30 20:22:11.796398accel: [1061, 16, -48];gyro: [16, -49, -33];mag: [-302, -149, -23]
2013-03-30 20:22:11.888909accel: [1057, -53, -1];gyro: [30, -14, -27];mag: [-302, -149, -23]
2013-03-30 20:22:11.946118accel: [1083, -65, 2];gyro: [16, -9, -30];mag: [-301, -148, -23]
2013-03-30 20:22:11.996303accel: [1089, -76, -63];gyro: [-6, -42, -56];mag: [-302, -148, -23]
2013-03-30 20:22:12.046413accel: [991, -57, -12];gyro: [21, -18, 11];mag: [-302, -149, -24]
2013-03-30 20:22:12.096080accel: [1044, -75, -27];gyro: [17, -20, -55];mag: [-303, -149, -23]
2013-03-30 20:22:12.146138accel: [1096, -97, 9];gyro: [-10, -13, -37];mag: [-302, -151, -24]
2013-03-30 20:22:12.196208accel: [1035, -69, 52];gyro: [15, -8, -49];mag: [-304, -148, -24]
2013-03-30 20:22:12.246375accel: [1000, -3, -9];gyro: [12, -30, -62];mag: [-302, -148, -24]
2013-03-30 20:22:12.296122accel: [1000, 5, 74];gyro: [25, -6, -49];mag: [-302, -149, -23]
2013-03-30 20:22:12.390178accel: [1065, -60, -37];gyro: [28, -23, -50];mag: [-300, -148, -25]
2013-03-30 20:22:12.446277accel: [1014, -85, 31];gyro: [0, -37, -63];mag: [-305, -150, -24]
2013-03-30 20:22:12.496342accel: [1072, -76, -14];gyro: [16, -8, -20];mag: [-302, -150, -22]
2013-03-30 20:22:12.546372accel: [1021, -9, 46];gyro: [4, -20, -41];mag: [-304, -148, -24]
2013-03-30 20:22:12.603532accel: [1069, -80, 23];gyro: [11, -12, -53];mag: [-304, -148, -24]
2013-03-30 20:22:12.646286accel: [1060, -17, -113];gyro: [-3, -25, -45];mag: [-303, -148, -24]
2013-03-30 20:22:12.696128accel: [1079, -28, -4];gyro: [244, 0, -38];mag: [-304, -147, -25]
2013-03-30 20:22:12.746244accel: [1008, -26, 16];gyro: [19, -23, -35];mag: [-302, -148, -26]
2013-03-30 20:22:12.796442accel: [1108, -41, 45];gyro: [-7, 28, -34];mag: [-303, -149, -24]
2013-03-30 20:22:12.890774accel: [1144, -92, 35];gyro: [16, -17, -15];mag: [-304, -151, -23]
